FillerBlock,Filler
T,Est-ce que les chiens ont 4 pattes ?
T,Est-ce que les huîtres volent?
T,Est-ce que le lait est liquide?
T,Est-ce que les tremblements de terre sont dangereux ?
T,Est-ce qu’il y a 10 jours dans une semaine?
T,Est-ce qu’il avait des ordinateurs au Moyen Âge?
T,Est-ce qu’il existe deux pôles sud?
T,Est-ce qu’il a 20 footballeuses dans une équipe?
T,Est-ce qu’il neige souvent pendant l’été?
T,Est-ce que les cerises sont bleues ?
T,Est-ce que la glace est constituée d’eau?
T,Est-ce que les aigles volent?
T,Est-ce que les voitures ont des pattes?
T,Est-ce que la Tour Eiffel est à Barcelone?
T,Est-ce que les arbres ont des feuilles?
T,Est-ce que Chirac était Président?
T,Est-ce que le violoncelle est un instrument de musique?
T,Est-ce que les fraises sont des animaux ?
T,Est-ce que le soleil se lève à l’est?
T,Est-ce que les roses ont différentes couleurs?
T,Est-ce que le sang est blanc?
T,Est-ce que l’organisme humaine a besoin d’eau?
T,Est-ce que la Terre a un satellite?
T,Est-ce qu’il y a 365 jours dans un an?
T,Est-ce que le Canada est un continent?
T,Est-ce que Napoléon était un chef d’orchestre?
T,Est-ce que le trains sont des moyens de transport?
T,Est-ce que Lyon est la capitale de la France?
T,Est-ce qu’il y a 24 heures dans un jour?
T,Est-ce que Venise est en Angleterre?
T,Est-ce que la pomme est un fruit?
T,Est-ce que la neige est verte?
P,Est-ce que 2 plus 2 font 4?
P,Est-ce que Michael Jackson était chanteur?
P,Est-ce que les chats ont 8 pattes?
P,Est-ce qu’il y a 100 secondes dans une heure?